Emp #,Designation,Experience,Salary,AggrBehavScore,ActivityScore,LinesOfCode,Qualification,Degree,YearsOfStudy,EducationalInstitute,Gender,Empl_Band
e39,Jr.Dev,4.0,27355,5.684578326473688,12,3573,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,6.4,24420,9.72483210209624,12,4839,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,4.3,27721,3.4197017854714318,17,6466,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,3.7,30888,6.632034038225772,22,8219,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,2.9,21362,8.270081386104193,17,5955,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,1.4,20460,3.5166673826023342,25,1705,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,3.0999999999999996,23479,6.58773637225512,4,406,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,9.0,36082,4.685744608014982,7,10006,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,6.2,26465,4.457981465635384,19,1918,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,4.2,19667,8.997590568115774,18,548,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,2.6,21701,4.394655198177059,9,8352,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,4.2,21448,7.06094443708532,23,2112,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,6.3,24542,2.0891464249088414,9,4242,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,5.7,22137,9.306166543200584,14,2631,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,4.2,26307,4.541540853600563,21,2809,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,7.5,30013,2.2350103430221715,13,5255,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,8.0,41266,6.94928846848881,15,12015,Grad,Btech,16.0,,F,B
e56,Sr.Dev,7.0,30879,3.5050287858848272,3,3720,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,7.5,34019,1.5680519824084815,16,3720,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,9.8,44218,6.790785517718236,3,9354,Grad,Btech,16.0,,F,B
e59,Sr.Dev,11.0,30571,2.62232855513855,3,7441,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,8.7,32721,5.176859149274618,9,1876,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,7.5,32754,7.406665429441542,11,3530,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,4.3,41826,3.2819968419013374,12,5579,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,5.1,31820,2.9785159553486467,13,7988,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,7.0,49110,5.134340448732901,15,4090,Grad,Btech,16.0,,F,B
e65,Sr.Dev,7.0,48263,7.360964564966727,6,9026,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,10.3,40499,2.16387905003409,8,4512,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,5.9,33328,3.685661876751462,9,7109,Grad,Btech,16.0,,M,B
e68,Sr.Dev,8.9,38143,3.5030195426840334,10,4849,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,9.4,35645,4.649290648871014,14,2701,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,5.9,39575,3.007963146192943,10,4142,Grad,Btech,16.0,,M,B
e71,Sr.Dev,8.2,88486,7.149024938811572,9,4463,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,5.6,80703,6.19578312115855,9,10481,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,9.7,41662,3.6195434410300784,16,6251,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,5.6,33543,2.40477508211316,14,3248,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,8.1,61931,6.583414436304847,12,8743,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,6.7,35304,2.638207276056144,13,4719,Grad,Btech,16.0,,M,B
e77,Sr.Dev,5.2,79418,4.663980344523816,14,4322,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,8.3,34784,3.9564619715386455,12,2366,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,7.1,39781,6.406735652107713,3,4086,Grad,Btech,16.0,,M,B
e80,Sr.Dev,7.4,47330,5.450974307254308,6,5925,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,7.3,34202,3.7438538465851687,6,4554,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,7.0,35408,3.358172135732421,8,3998,Grad,Btech,16.0,,F,B
e83,Sr.Dev,4.6,41357,3.2394738583986307,10,8298,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,6.0,32190,4.122689695263078,3,1133,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,15.0,85235,1.2099383813992706,1,429,Grad,,15.0,clg,M,A
e2,Jr.Dev,6.0,26966,6.130265179525813,17,5921,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,5.0,36942,3.0035598772026786,8,2970,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,5.0,22702,9.51436203524959,25,9570,,Mtech,18.0,,F,C
e5,Sr.Dev,4.0,35406,3.2374129539778504,9,4552,,Btech,16.0,,F,B
e6,Sr.Dev,7.5,38488,2.757630070223356,6,3867,,,15.0,unv,M,B
e7,Sr.Dev,4.3,34869,3.71386702212955,9,4660,PostGrad,IntMsc,,cunv,F,B
e8,Director,18.0,90783,0.9812212165526297,3,1302,,,,,M,A
e9,Manager,9.0,64931,1.7906330251568758,3,2666,,,18.0,iit,F,B
e10,Sr.Analyst,11.5,47981,1.8509829237846755,4,1971,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,12.5,50990,1.6863586681681646,7,1793,Phd,,22.0,,M,A
e12,Sr.Manager,14.0,73677,0.6987897030305535,3,1116,,Msc,27.0,iit,F,A
e13,Analyst,10.0,45949,1.58557259084427,4,1874,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,9.3,41958,1.8041990428462176,7,1857,,,,,F,C
e15,Analyst,11.1,48675,2.102819961255672,8,2809,Grad,Bsc,15.0,iit,F,C
e16,Manager,11.2,65362,0.9692333400676421,7,2893,Grad,Btech,16.0,clg,M,B
e17,Manager,12.8,65074,1.3381951158803547,7,1716,Grad,,,,M,B
e18,Sr.Manager,15.0,78992,1.0982366289685637,3,1605,,,15.0,,M,A
e19,Sr.Analyst,8.5,55492,2.653411817423631,5,3439,,,16.0,,M,A
e20,Sr.Analyst,8.7,58490,2.025966545751607,4,2618,,,,,F,A
e21,Sr.Analyst,9.1,59131,1.6665621776438047,7,2483,,,,,M,A
e22,Sr.Analyst,11.0,48602,2.0446871911184488,7,2348,postdoc,,,,F,A
e23,Analyst,9.2,45033,2.5724196774767956,8,3461,,,15.0,,M,C
e24,Analyst,10.5,46620,2.0547755143447737,8,3431,,,15.0,,M,C
e25,Analyst,10.7,40963,2.1542483724297234,4,2328,,,15.0,,M,C
e26,Manager,13.0,60354,1.9799533008619146,3,1400,,,17.0,,M,B
e27,Manager,14.2,66690,0.8066961672500436,5,2698,,,17.0,,M,B
e28,Manager,12.5,68478,1.3792957115705118,7,1072,,,,,F,B
e29,Sr.Analyst,12.0,81320,0.6946625798681137,3,1196,,,17.0,,F,A
e30,Sr.Manager,12.2,73542,0.8439570524897146,2,748,,,19.0,,F,A
e31,Sr.Analyst,12.2,49611,1.7882140887087479,3,1949,,,29.0,,M,A
e32,Sr.Analyst,10.9,51575,1.661614965457674,4,1093,,,35.0,,F,A
e33,Director,15.0,97566,1.2328496755579836,7,4381,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,11.0,47932,2.2749386796843556,3,-89,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,11.2,61572,2.499106290972541,4,2482,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,12.0,66046,0.884795922565846,7,3645,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,15.0,68434,3.1790780012347724,5,3246,PostGrad,Mtech,18.0,,F,A
e38,Director,16.0,95621,1.579929264365136,6,7300,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,6.0,28817,5.47695431108204,13,3090,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,6.4,21909,9.772941192551047,13,4690,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,4.3,29745,3.563967891357838,19,6417,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,7.7,35953,6.3445240156528655,22,8525,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,4.9,25516,8.26780655028711,15,5094,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,5.4,20716,3.2182990124269155,22,2486,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,6.1,24401,7.078847012705528,5,248,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,8.0,37459,4.776697593996425,6,9374,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,8.2,29230,4.3287936170112555,17,1855,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,3.2,20986,9.434013122249503,17,579,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,2.6,21638,4.356645773147976,9,8021,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,5.2,25461,6.884405657525133,20,1276,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,7.3,25436,1.5365284072997474,9,3785,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,3.7,21825,9.254113099728059,15,945,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,2.2,28678,4.74499312358027,21,2640,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,6.5,26187,2.450015289710085,16,6628,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,7.0,42544,6.802527765585679,16,12458,Grad,Btech,16.0,,F,B
e56,Sr.Dev,7.0,31690,3.5015336022940495,3,4020,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,9.5,38650,1.5311215512480034,15,5164,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,10.8,44468,6.870048581293203,4,10320,Grad,Btech,16.0,,F,B
e59,Sr.Dev,8.0,34028,2.0871354204542607,5,8125,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,7.7,31955,4.6340648397158875,6,1741,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,5.5,29104,7.956531148545635,12,3027,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,6.3,39691,3.6376241323917906,15,4631,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,8.1,29503,3.2689448378624117,13,7510,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,7.0,46890,5.958758462415874,14,5092,Grad,Btech,16.0,,F,B
e65,Sr.Dev,6.0,49325,6.748260901392775,5,9215,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,9.3,38669,1.5219644273039252,9,6309,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,8.9,35283,4.1485522163724875,9,7258,Grad,Btech,16.0,,M,B
e68,Sr.Dev,8.9,34958,3.40026354889294,12,6204,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,8.4,31906,4.650676255209667,12,4275,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,7.9,38416,2.654662013268439,13,3174,Grad,Btech,16.0,,M,B
e71,Sr.Dev,9.2,87220,7.06586444701409,5,5486,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,8.6,76937,6.583931261656481,9,10383,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,9.7,39797,3.793779648142347,14,6014,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,7.6,37314,2.375985848112477,15,3361,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,8.1,58966,7.01718400431767,10,9422,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,7.7,34805,3.0056537782623503,14,3541,Grad,Btech,16.0,,M,B
e77,Sr.Dev,7.2,79114,4.297848966204581,14,4606,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,9.3,36030,3.9747579014118157,10,2806,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,9.1,35171,6.761290210462878,1,4439,Grad,Btech,16.0,,M,B
e80,Sr.Dev,7.4,44486,4.669178062410298,5,7110,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,6.3,34534,3.7938596860821896,5,3440,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,6.0,30324,3.2475461467945212,9,3976,Grad,Btech,16.0,,F,B
e83,Sr.Dev,7.6,39043,3.573482852692736,10,6787,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,8.0,35560,3.9532629073042185,4,2916,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,18.0,85595,0.7095963656137021,1,1837,Grad,,15.0,clg,M,A
e2,Jr.Dev,6.0,27973,6.170531086352099,16,6780,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,8.0,37930,2.6554526928651487,8,2973,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,2.0,20196,9.060696845745438,24,10129,,Mtech,18.0,,F,C
e5,Sr.Dev,4.0,36541,3.0463461080336174,11,4951,,Btech,16.0,,F,B
e6,Sr.Dev,8.5,38611,2.9025273687846465,9,3339,,,15.0,unv,M,B
e7,Sr.Dev,4.3,34115,3.5905033494635274,10,4512,PostGrad,IntMsc,,cunv,F,B
e8,Director,20.0,87867,0.9497916970960267,2,939,,,,,M,A
e9,Manager,13.0,65235,1.6680416590178746,4,1097,,,18.0,iit,F,B
e10,Sr.Analyst,9.5,50141,1.5299336117411582,5,2771,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,9.5,52180,1.4814926337711414,7,1884,Phd,,22.0,,M,A
e12,Sr.Manager,14.0,75985,0.8344473515028781,6,2283,,Msc,27.0,iit,F,A
e13,Analyst,11.0,46482,1.7046881163920808,4,3198,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,11.3,43202,1.5023858906488496,7,3164,,,,,F,C
e15,Analyst,9.1,45933,1.9088302695966217,6,1487,Grad,Bsc,15.0,iit,F,C
e16,Manager,13.2,66252,1.3040464506246687,5,1739,Grad,Btech,16.0,clg,M,B
e17,Manager,11.8,66612,1.893051477431678,4,1267,Grad,,,,M,B
e18,Sr.Manager,16.0,76759,0.9100155147376687,3,2451,,,15.0,,M,A
e19,Sr.Analyst,10.5,53943,1.9264967681479128,8,2535,,,16.0,,M,A
e20,Sr.Analyst,8.7,56372,2.135445637172146,4,2608,,,,,F,A
e21,Sr.Analyst,10.1,55867,1.7896625711900294,7,2423,,,,,M,A
e22,Sr.Analyst,11.0,49695,1.5585738476184563,6,2258,postdoc,,,,F,A
e23,Analyst,6.2,40449,2.3047099642912547,8,2317,,,15.0,,M,C
e24,Analyst,8.5,47223,2.613938281973933,6,3090,,,15.0,,M,C
e25,Analyst,8.7,42023,1.7143084457405198,7,1650,,,15.0,,M,C
e26,Manager,9.0,64503,1.6613239843757481,6,1326,,,17.0,,M,B
e27,Manager,14.2,66302,1.1592802043168007,3,1835,,,17.0,,M,B
e28,Manager,10.5,66737,1.4848029911175633,3,1664,,,,,F,B
e29,Sr.Analyst,15.0,78822,1.2403289692910833,3,1866,,,17.0,,F,A
e30,Sr.Manager,15.2,72231,1.3844959858587722,6,840,,,19.0,,F,A
e31,Sr.Analyst,12.2,49258,1.8163654157602536,7,1956,,,29.0,,M,A
e32,Sr.Analyst,12.9,53396,1.594916501623008,5,1609,,,35.0,,F,A
e33,Director,15.0,98478,1.285371383309567,4,5875,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,7.0,51089,2.19349404309781,3,438,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,8.2,57479,2.4921172522140114,7,1768,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,10.0,69849,1.3968821311947106,8,3634,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,15.0,65454,3.362182429204685,4,3291,PostGrad,Mtech,18.0,,F,A
e38,Director,20.0,94362,1.2719204694223567,7,7917,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,7.0,32520,5.813202438360936,9,4492,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,3.4,25350,9.41070274125396,11,5311,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,2.3,29410,3.5316047783358044,17,6873,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,4.7,34838,6.32926626890634,21,8590,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,2.9,24117,8.076994187090616,19,5089,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,2.4,23156,3.6962746504022235,24,1749,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,3.0999999999999996,22324,6.4482039982438,3,923,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,9.0,34832,4.047302833160568,3,9765,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,4.2,29529,4.24736911487041,18,2677,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,1.2,20723,8.734789698396755,18,1595,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,6.6,23881,4.323344374564702,10,6660,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,5.2,24221,6.758710110293558,21,1956,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,6.3,23646,1.6951479308774,9,3175,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,6.7,26235,9.135465171785304,14,817,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,5.2,26030,4.897344943517464,24,3138,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,4.5,27295,2.818499531075958,16,5014,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,7.0,40558,6.941599874963743,13,12247,Grad,Btech,16.0,,F,B
e56,Sr.Dev,10.0,33836,3.8817932276369094,2,3037,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,5.5,38235,1.610322914813334,13,3849,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,10.8,44949,6.764633192740513,4,9541,Grad,Btech,16.0,,F,B
e59,Sr.Dev,11.0,34958,2.771934503437464,3,8373,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,8.7,35164,4.9644516709027595,10,1377,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,5.5,31486,7.755879177374498,12,3256,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,5.3,42491,3.8565533264928407,15,4812,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,7.1,29493,3.290723565705991,14,7279,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,4.0,48085,5.4445832282432525,14,5791,Grad,Btech,16.0,,F,B
e65,Sr.Dev,6.0,50044,6.667737878863096,5,8909,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,9.3,43819,1.4476858124232117,5,5875,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,7.9,31973,4.369869573462165,8,6772,Grad,Btech,16.0,,M,B
e68,Sr.Dev,6.9,37891,3.4131576723568298,11,6205,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,9.4,35780,5.25938162167107,11,3453,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,5.9,38623,2.2016200510279065,12,3445,Grad,Btech,16.0,,M,B
e71,Sr.Dev,8.2,91849,7.102244910051079,8,5078,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,7.6,77027,6.321251332833533,9,9977,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,10.7,38991,3.6354874439280054,15,6088,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,5.6,37502,2.518316028880876,14,3564,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,6.1,58401,6.672761163723358,9,9529,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,7.7,37634,2.7256637479654255,12,4758,Grad,Btech,16.0,,M,B
e77,Sr.Dev,8.2,80685,4.138995810648679,12,4441,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,10.3,34110,3.9389708431231885,13,1170,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,9.1,38010,6.97459244384441,3,3713,Grad,Btech,16.0,,M,B
e80,Sr.Dev,6.4,46848,5.176967437968414,6,7046,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,8.3,32216,4.116079546682819,8,4603,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,6.0,32696,3.1587499335587266,11,4026,Grad,Btech,16.0,,F,B
e83,Sr.Dev,8.6,42984,3.5268549944913183,11,7094,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,10.0,32863,3.8777434201887533,1,2588,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,15.0,83985,1.1591601675949967,4,2205,Grad,,15.0,clg,M,A
e2,Jr.Dev,6.0,25461,6.124163278628577,17,6888,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,5.0,35261,2.937100587287231,6,2517,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,4.0,21889,9.277663534227283,23,9562,,Mtech,18.0,,F,C
e5,Sr.Dev,6.0,39364,3.43033042996693,12,3979,,Btech,16.0,,F,B
e6,Sr.Dev,6.5,34379,2.104374330815473,6,2579,,,15.0,unv,M,B
e7,Sr.Dev,8.3,33761,2.791747868680252,9,4268,PostGrad,IntMsc,,cunv,F,B
e8,Director,19.0,87301,0.39391536887851425,5,1468,,,,,M,A
e9,Manager,9.0,65228,1.8653163457272264,5,1880,,,18.0,iit,F,B
e10,Sr.Analyst,10.5,47808,2.10634992485326,7,2793,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,10.5,51632,1.1303398328286112,7,1852,Phd,,22.0,,M,A
e12,Sr.Manager,14.0,70487,1.0881647429436154,6,1974,,Msc,27.0,iit,F,A
e13,Analyst,10.0,47372,2.1333775358040583,4,2770,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,7.300000000000001,41963,1.5658258996535586,4,3187,,,,,F,C
e15,Analyst,11.1,46176,2.001207231007375,5,2553,Grad,Bsc,15.0,iit,F,C
e16,Manager,9.2,62405,1.6221038795336797,5,2788,Grad,Btech,16.0,clg,M,B
e17,Manager,10.8,67816,1.9969105197144472,5,2275,Grad,,,,M,B
e18,Sr.Manager,12.0,75463,0.7999273259952829,3,1187,,,15.0,,M,A
e19,Sr.Analyst,8.5,55200,2.034070975293102,7,3172,,,16.0,,M,A
e20,Sr.Analyst,8.7,58829,1.9535531965639665,6,3051,,,,,F,A
e21,Sr.Analyst,7.1,58853,1.632555944618013,7,2634,,,,,M,A
e22,Sr.Analyst,9.0,52067,2.185952411290122,7,3080,postdoc,,,,F,A
e23,Analyst,8.2,43800,2.365348527213344,9,2950,,,15.0,,M,C
e24,Analyst,8.5,50632,1.7828766213432916,6,2041,,,15.0,,M,C
e25,Analyst,8.7,42204,1.7373012613333105,4,1634,,,15.0,,M,C
e26,Manager,11.0,64855,1.0227289040402936,4,1274,,,17.0,,M,B
e27,Manager,10.2,67542,0.9620049478799162,4,963,,,17.0,,M,B
e28,Manager,13.5,69525,1.6168830833518277,7,2100,,,,,F,B
e29,Sr.Analyst,13.0,77063,0.6704888906105468,6,2422,,,17.0,,F,A
e30,Sr.Manager,12.2,75435,0.7459594094006335,5,1694,,,19.0,,F,A
e31,Sr.Analyst,13.2,52517,1.3037552100034506,6,2790,,,29.0,,M,A
e32,Sr.Analyst,8.9,51821,1.9386881965648008,4,1964,,,35.0,,F,A
e33,Director,15.0,98871,1.3553608781530238,4,4250,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,10.0,50369,2.3808116599186584,4,-15,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,8.2,59786,2.9531906148500604,6,1147,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,10.0,69706,1.241911494329282,5,3949,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,12.0,68123,3.585985091195557,5,1708,PostGrad,Mtech,18.0,,F,A
e38,Director,16.0,92225,1.6299560152272612,7,8034,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,6.0,30401,5.906270293701477,11,4003,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,3.4,24863,9.577335150815667,15,4006,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,5.3,24217,3.040121484896658,19,6135,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,5.7,35797,6.318176674664747,20,8695,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,5.9,24301,8.468745215759068,17,4967,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,1.4,18149,3.833969973317538,21,2796,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,3.0999999999999996,23872,6.800779430565469,2,-350,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,5.0,32737,4.442300161001252,3,9712,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,7.2,29043,3.7694282865921895,18,2337,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,4.2,17741,9.426646621954065,19,140,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,3.6,26664,3.843771081498585,11,7133,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,4.2,25675,7.391675822266295,22,782,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,4.3,22506,1.8855310099778855,10,4283,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,5.7,26685,9.677006767461107,11,1475,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,6.2,25136,4.600772922298106,22,2501,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,5.5,29753,2.79544792875802,17,5355,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,6.0,40720,6.105355812993423,16,11932,Grad,Btech,16.0,,F,B
e56,Sr.Dev,9.0,34133,4.150129048009609,6,3829,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,9.5,36099,1.8821198900351697,14,4124,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,10.8,41575,7.187542898451515,5,9148,Grad,Btech,16.0,,F,B
e59,Sr.Dev,8.0,31665,2.068286202668084,2,8659,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,5.7,32618,4.322252163307528,8,2179,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,8.5,30748,7.555607824010332,9,4980,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,7.3,38501,3.215718224642872,12,4593,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,4.1,32955,3.2250203670720765,13,6888,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,8.0,44122,5.320067626221469,16,4647,Grad,Btech,16.0,,F,B
e65,Sr.Dev,6.0,52696,6.533480505401139,5,8349,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,7.3,42559,1.5776540587601895,8,5069,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,5.9,31639,4.339540505596172,7,7396,Grad,Btech,16.0,,M,B
e68,Sr.Dev,5.9,36179,2.854423172782232,10,4665,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,8.4,34026,4.965160332949991,13,2392,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,3.9000000000000004,36996,2.687168871532366,10,4758,Grad,Btech,16.0,,M,B
e71,Sr.Dev,8.2,91505,7.110982119163103,8,3791,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,4.6,79808,6.4533645332137235,7,9412,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,10.7,40439,3.8275310785640273,16,7001,PostGrad,Btech,16.0,,M,B
